Pestisit,Urun,MRL_Limiti,Buhar_Basinci_Ref_25C,Sicaklik_C,Sicaklik_Sinifi,Ucuculuk_Gosterge_Index,Ucuculuk_Sinifi,1ml_Saf_Madde_ppm,Uygulanan_Ilac_Miktari_ml,Tahmini_Kalinti_ppm,Etiket
Tebuconazole,Peanut fodder,40.0,0.01,29.3,1,-2.0296,Dusuk,1200.0,189.67,21.0842,0
Penthiopyrad,"Sorghum straw and fodder, dry",10.0,0.01,27.5,1,-2.0178,Dusuk,1200.0,82.64,7.3413,0
Ethephon,Rye,0.5,0.01,21.7,0,-1.9786,Orta,1200.0,48.77,0.6575,1
Flufenoxuron,Mammalian fats (except milk fats),0.05,0.01,31.8,1,-2.0464,Dusuk,1200.0,0.66,0.0397,0
Cyfluthrin/beta-cyfluthrin,Milks,0.01,0.01,17.4,0,-1.9498,Orta,1200.0,0.94,0.0067,0
Imazamox,Bean (dry),0.05,0.01,25.8,1,-2.0063,Dusuk,1200.0,1.27,0.0691,1
Penthiopyrad,Pulses (group),0.3,0.01,19.4,0,-1.9636,Orta,1200.0,33.8,0.4031,1
Lufenuron,Melons (except watermelon),0.4,0.01,33.8,1,-2.0598,Dusuk,1200.0,3.64,0.4157,1
Clothianidin,Wheat germ,6.0,0.01,21.1,0,-1.9751,Orta,1200.0,263.63,5.3161,0
Fluopicolide,"Cabbages, head",7.0,0.01,24.8,0,-1.9999,Orta,1200.0,638.67,9.2492,1
Lindane,Milks,0.001,0.01,16.5,0,-1.9438,Orta,1200.0,0.09,0.001,1
Bicyclopyrone,Meat (from mammals other than marine mammals),0.02,0.01,30.1,1,-2.0354,Dusuk,1200.0,0.1,0.0116,0
Fluazifop-p-butyl,Sugar beet,0.5,0.01,28.7,1,-2.0259,Dusuk,1200.0,3.97,0.4218,0
Fluensulfone,Rice cereals (subgroup),0.04,0.01,18.9,0,-1.9602,Orta,1200.0,1.66,0.0329,0
Penconazole,Melons (except watermelon),0.15,0.01,32.4,1,-2.0508,Dusuk,1200.0,1.85,0.0834,0
Pirimiphos-Methyl,Meat (from mammals other than marine mammals),0.01,0.01,21.7,0,-1.9792,Orta,1200.0,0.49,0.0058,0
Novaluron,Sugar cane,0.5,0.01,23.9,0,-1.9937,Orta,1200.0,60.68,0.4434,0
Cyproconazole,Sugar beet,0.05,0.01,20.8,0,-1.9726,Orta,1200.0,6.19,0.0409,0
Aldicarb,"Spices, roots and rhizomes",0.02,4.0,21.9,0,0.596,Yuksek,1190.0,6.34,0.018,0
Piperonyl Butoxide,Radish leaves (including radish tops),50.0,0.01,30.0,1,-2.0347,Dusuk,1200.0,815.68,72.58,1
Fenpyrazamine,Ginseng,0.7,0.01,19.9,0,-1.967,Orta,1200.0,98.98,0.5805,0
Cyflumetofen,Tomato,0.3,0.01,16.8,0,-1.9459,Orta,1200.0,30.62,0.3203,1
Trifloxystrobin,"Currants, black, red, white",3.0,0.01,31.9,1,-2.0471,Dusuk,1200.0,70.78,4.0512,1
Prothioconazole,Fodder (dry) of cereal grains,5.0,0.01,25.4,1,-2.0038,Dusuk,1200.0,73.34,5.0327,1
Disulfoton,Maize,0.02,0.01,30.2,1,-2.0361,Dusuk,1200.0,0.26,0.0187,0
Clethodim,"Cotton seed oil, crude",0.5,0.01,19.8,0,-1.966,Orta,1200.0,14.1,0.2749,0
Piperonyl Butoxide,Milks,0.05,0.01,28.5,1,-2.0242,Dusuk,1200.0,0.57,0.0656,1
Imazalil,Milks,0.02,0.01,30.3,1,-2.0363,Dusuk,1200.0,0.64,0.0269,1
Aminocyclopyrachlor,Meat (from mammals other than marine mammals),0.01,0.01,28.8,1,-2.0265,Dusuk,1200.0,0.09,0.0075,0
Pyriofenone,Cane berries (subgroup),0.9,0.01,22.5,0,-1.9844,Orta,1200.0,55.87,1.2326,1
Azoxystrobin,Soya bean (dry),0.5,0.01,18.0,0,-1.9538,Orta,1200.0,34.83,0.4746,0
Flusilazole,Apricot,0.2,0.01,18.9,0,-1.9598,Orta,1200.0,6.88,0.1548,0
Fenbutatin Oxide,"Citrus pulp, dried",25.0,0.01,31.4,1,-2.0436,Dusuk,1200.0,347.07,31.3609,1
Piperonyl Butoxide,Cattle kidney,0.3,0.01,18.1,0,-1.9545,Orta,1200.0,24.57,0.3715,1
Spirotetramat,Strawberry,0.3,0.01,32.8,1,-2.053,Dusuk,1200.0,2.36,0.2502,0
Dithiocarbamates,Banana,2.0,0.01,26.1,1,-2.0084,Dusuk,1200.0,67.63,2.6499,1
Methomyl,Bean (dry),0.05,0.01,25.0,1,-2.0012,Dusuk,1200.0,0.25,0.0256,0
Oxamyl,Potato,0.01,0.01,15.9,0,-1.9398,Orta,1200.0,0.84,0.0094,0
Abamectin,Gherkin,0.03,2e-07,22.5,0,-6.646,Cok Dusuk (Kalici),1160.0,0.11,0.0381,1
Terbufos,Edible offal (mammalian),0.05,0.01,31.4,1,-2.0441,Dusuk,1200.0,1.06,0.0509,1
Phosmet,Peach,10.0,0.01,24.7,0,-1.999,Orta,1200.0,554.2,12.836,1
Mesotrione,Linseed,0.01,0.01,23.1,0,-1.9885,Orta,1200.0,0.37,0.0062,0
Haloxyfop,Citrus fruits (group),0.02,0.01,16.9,0,-1.947,Orta,1200.0,2.25,0.024,1
Dimethenamid-P,"Bean, hay and/or straw",0.01,0.01,26.1,1,-2.0087,Dusuk,1200.0,0.05,0.0051,0
Permethrin,"Sunflower seed oil, edible",1.0,0.01,19.1,0,-1.9617,Orta,1200.0,44.52,1.0666,1
Imazapyr,Maize,0.05,0.01,24.0,0,-1.9943,Orta,1200.0,1.91,0.0381,0
Dimethomorph,Grapes,3.0,0.01,27.9,1,-2.0204,Dusuk,1200.0,46.37,4.0875,1
Endosulfan,"Squash, summer",0.5,0.01,33.1,1,-2.0552,Dusuk,1200.0,7.4,0.503,1
Sulfoxaflor,Spring onion,0.7,0.01,31.7,1,-2.0457,Dusuk,1200.0,10.08,0.5334,0
Heptachlor,Soya bean (immature seeds),0.02,0.01,20.1,0,-1.9683,Orta,1200.0,2.48,0.0265,1
Prothioconazole,Barley,0.2,0.01,18.3,0,-1.9562,Orta,1200.0,13.01,0.256,1
Penthiopyrad,Pulses (group),0.3,0.01,24.8,0,-1.9999,Orta,1200.0,12.07,0.2104,0
Cycloxydim,"Lettuce, leaf",1.5,0.01,17.8,0,-1.9525,Orta,1200.0,82.82,1.6248,1
Flumioxazin,Lentil (dry),0.07,0.01,28.1,1,-2.022,Dusuk,1200.0,0.55,0.0614,0
Malathion,Apple,0.5,0.01,23.4,0,-1.9906,Orta,1200.0,21.67,0.2639,0
Boscalid,Strawberry,3.0,0.01,15.3,0,-1.9359,Orta,1200.0,156.95,2.8444,0
Azoxystrobin,Maize,0.02,0.01,15.2,0,-1.9355,Orta,1200.0,2.25,0.0259,1
Flupyradifurone,"Squash, summer",0.2,0.01,21.9,0,-1.9805,Orta,1200.0,9.21,0.2015,1
Sulfoxaflor,Cauliflower,0.04,0.01,15.5,0,-1.937,Orta,1200.0,1.65,0.0401,1
Methiocarb,Leek,0.5,0.01,20.4,0,-1.9701,Orta,1200.0,23.67,0.5441,1
Kresoxim-Methyl,Garlic,0.01,0.01,29.0,1,-2.0277,Dusuk,1200.0,0.15,0.011,1
Sulfoxaflor,"Sorghum straw and fodder, dry",0.7,0.01,22.9,0,-1.9866,Orta,1200.0,71.89,1.0008,1
Permethrin,"Lettuce, head",2.0,0.01,30.7,1,-2.0392,Dusuk,1200.0,46.01,1.823,0
Fenpropimorph,Sugar beet,0.03,0.01,22.0,0,-1.9812,Orta,1200.0,2.18,0.0432,1
Spirodiclofen,Citrus fruits (group),0.4,0.01,24.0,0,-1.9943,Orta,1200.0,33.58,0.2504,0
"2,4-D",Sweet corn (corn-on-the-cob),0.05,0.01,21.6,0,-1.9784,Orta,1200.0,8.71,0.0758,1
Cypermethrins (including alpha- and zeta- cypermethrin),Avocado,0.5,0.01,22.2,0,-1.982,Orta,1200.0,34.46,0.5202,1
Methoxyfenozide,Citrus fruits (group),2.0,0.01,21.2,0,-1.9754,Orta,1200.0,303.03,2.3567,1
Fluazifop-p-butyl,Sugar beet molasses,7.0,0.01,31.5,1,-2.0444,Dusuk,1200.0,91.81,3.5975,0
"2,4-D","Wheat, hay and/or straw",100.0,0.01,16.5,0,-1.9438,Orta,1200.0,10842.74,126.7792,1
Prothioconazole,Potato,0.02,0.01,32.9,1,-2.054,Dusuk,1200.0,0.12,0.014,0
Cyproconazole,Milks,0.01,0.01,34.6,1,-2.0656,Dusuk,1200.0,0.24,0.011,1
Aminocyclopyrachlor,Mammalian fats (except milk fats),0.03,0.01,28.9,1,-2.027,Dusuk,1200.0,0.42,0.0403,1
Piperonyl Butoxide,Cattle milk,0.2,0.01,18.8,0,-1.9597,Orta,1200.0,10.27,0.1553,0
Dimethipin,Edible offal (mammalian),0.01,0.01,16.4,0,-1.9432,Orta,1200.0,0.5,0.0078,0
"2,4-D",Milks,0.01,0.01,25.0,0,-2.0008,Dusuk,1200.0,0.35,0.0117,1
Bifenazate,Tomato,0.5,0.01,24.3,0,-1.9962,Orta,1200.0,34.37,0.5747,1
Chlordane,Sorghum grain,0.02,0.01,20.5,0,-1.971,Orta,1200.0,1.42,0.0298,1
Permethrin,Citrus fruits (group),0.5,0.01,22.8,0,-1.9862,Orta,1200.0,17.65,0.3712,0
Pyriofenone,"Fruiting vegetables, cucurbits (group)",0.2,0.01,25.1,1,-2.0016,Dusuk,1200.0,2.98,0.152,0
Pyriofenone,Bush berries (subgroup),1.5,0.01,26.6,1,-2.012,Dusuk,1200.0,9.25,0.8574,0
Fipronil,Poultry meat,0.01,0.01,29.1,1,-2.0282,Dusuk,1200.0,0.09,0.0105,1
Acetochlor,Mammalian fats (except milk fats),0.02,22.0,33.8,1,1.3826,Yuksek,1120.0,2.82,0.0126,0
Isoflucypram,Wheat,0.05,0.01,20.5,0,-1.9707,Orta,1200.0,3.44,0.0331,0
Triadimefon,Sugar beet,0.05,0.01,25.0,1,-2.0013,Dusuk,1200.0,0.52,0.0514,1
Isocycloseram,Edible offal (mammalian),0.3,0.01,32.3,1,-2.0497,Dusuk,1200.0,3.31,0.2903,0
Terbufos,Maize fodder (dry),0.2,0.01,23.4,0,-1.9902,Orta,1200.0,15.65,0.1579,0
Boscalid,Kiwifruit,5.0,0.01,25.7,1,-2.0055,Dusuk,1200.0,129.43,5.9984,1
Thiamethoxam,"Goji berry, dried",5.0,0.01,25.4,1,-2.0036,Dusuk,1200.0,148.91,5.161,1
Imazapic,Rape seed,0.05,0.01,24.3,0,-1.9963,Orta,1200.0,4.32,0.0425,0
Fenpyroximate,"Pummelo and grapefruit, dried pulp",3.0,0.01,26.9,1,-2.0135,Dusuk,1200.0,59.86,2.7857,0
Aldicarb,"Sorghum straw and fodder, dry",0.5,4.0,18.5,0,0.5892,Yuksek,1190.0,219.97,0.4859,0
Metrafenone,"Oat straw and fodder, dry",6.0,0.01,24.8,0,-1.9998,Orta,1200.0,357.17,5.3715,0
Deltamethrin,Rape seed,0.2,2e-06,20.6,0,-5.618,Cok Dusuk (Kalici),500.0,3.97,0.2532,1
Oxydemeton-Methyl,"Barley, hay and/or straw",0.1,0.01,18.3,0,-1.956,Orta,1200.0,4.4,0.0597,0
Bixafen,"Poultry, edible offal of",0.05,0.01,28.2,1,-2.0226,Dusuk,1200.0,0.81,0.0443,0
Diphenylamine,Milk fats,0.01,0.01,33.8,1,-2.0602,Dusuk,1200.0,0.13,0.0063,0
Isoxaflutole,Sugar cane fodder,0.01,0.01,22.3,0,-1.9832,Orta,1200.0,0.54,0.0054,0
Myclobutanil,"Fruiting vegetables, cucurbits (group)",0.2,0.01,20.0,0,-1.9675,Orta,1200.0,11.65,0.2774,1
Phosmet,Blueberries,10.0,0.01,17.4,0,-1.9501,Orta,1200.0,597.44,14.3032,1
Imazapyr,Milks,0.01,0.01,28.9,1,-2.0274,Dusuk,1200.0,0.1,0.0073,0
Imidacloprid,"Basil, leaves",20.0,4e-07,17.7,0,-6.2443,Cok Dusuk (Kalici),1540.0,75.97,15.6391,0
Isotianil,"Oranges, sweet, sour (including Orange-like hybrids) (subgroup)",0.4,0.01,15.8,0,-1.9392,Orta,1200.0,43.4,0.5815,1
"2,4-D","Rice, husked",0.1,0.01,23.9,0,-1.9937,Orta,1200.0,8.52,0.0592,0
Tioxazafen,Maize,0.01,0.01,15.3,0,-1.9358,Orta,1200.0,0.35,0.0054,0
Bifenthrin,Brassica vegetables (except Brassica leafy vegetables) (group),0.4,0.01,27.5,1,-2.0177,Dusuk,1200.0,1.75,0.1993,0
Endosulfan,Melons (except watermelon),2.0,0.01,15.1,0,-1.9343,Orta,1200.0,96.84,1.7908,0
Omethoate,"Wheat, hay and/or straw",0.3,0.01,23.5,0,-1.9911,Orta,1200.0,13.11,0.1676,0
Trifloxystrobin,Lentil (dry),0.01,0.01,20.2,0,-1.9691,Orta,1200.0,1.28,0.0132,1
Fenvalerate,"Spices, fruits and berries",0.03,0.01,26.3,1,-2.0097,Dusuk,1200.0,0.6,0.0168,0
Isopyrazam,"Triticale, hay and/or straw",15.0,0.01,28.2,1,-2.0222,Dusuk,1200.0,95.95,9.4878,0
Carbaryl,Tomato juice,3.0,0.01,24.6,0,-1.9983,Orta,1200.0,434.09,3.6567,1
Thiamethoxam,Pineapple,0.01,0.01,23.9,0,-1.9936,Orta,1200.0,1.01,0.0132,1
Cyflumetofen,"Grape, dried (= Currants, Raisins and Sultanas)",1.5,0.01,20.2,0,-1.969,Orta,1200.0,57.1,1.3743,0
Methoxyfenozide,"Peanut oil, edible",0.1,0.01,25.1,1,-2.0014,Dusuk,1200.0,0.55,0.0601,0
Fenbuconazole,"Barley bran, unprocessed",1.0,0.01,24.5,0,-1.9975,Orta,1200.0,43.74,0.9151,0
Ametoctradin,Potato,0.05,0.01,18.3,0,-1.9561,Orta,1200.0,2.86,0.0308,0
Methoprene,"Peanut, whole",5.0,0.01,15.2,0,-1.9355,Orta,1200.0,187.76,3.6459,0
Carbaryl,"Wheat, hay and/or straw",30.0,0.01,22.3,0,-1.9826,Orta,1200.0,1698.47,35.3445,1
Carbendazim,"Lettuce, head",5.0,0.01,27.0,1,-2.0145,Dusuk,1200.0,57.73,4.2134,0
Pyraziflumid,Pear,1.5,0.01,34.9,1,-2.0674,Dusuk,1200.0,13.19,1.2015,0
Propargite,"Maize oil, crude",0.7,0.01,23.6,0,-1.9917,Orta,1200.0,61.31,0.9105,1
Bifenthrin,Edible offal (mammalian),0.2,0.01,17.2,0,-1.9486,Orta,1200.0,7.68,0.1208,0
Propargite,"Maize oil, crude",0.7,0.01,25.4,1,-2.0034,Dusuk,1200.0,5.0,0.4985,0
Fenbutatin Oxide,Banana,10.0,0.01,32.6,1,-2.0517,Dusuk,1200.0,71.19,5.2021,0
Teflubenzuron,Edible offal (mammalian),0.01,0.01,27.2,1,-2.016,Dusuk,1200.0,0.07,0.0079,0
Azoxystrobin,Carambola,0.1,0.01,16.0,0,-1.9408,Orta,1200.0,6.0,0.1284,1
Fenpyroximate,Beans with pods (subgroup),0.5,0.01,20.0,0,-1.9672,Orta,1200.0,26.73,0.5046,1
Azoxystrobin,Brassica vegetables (except Brassica leafy vegetables) (group),5.0,0.01,25.2,1,-2.0024,Dusuk,1200.0,32.79,3.536,0
Ethephon,Pineapple,1.5,0.01,32.2,1,-2.049,Dusuk,1200.0,14.68,1.1797,0
Penconazole,Meat (from mammals other than marine mammals),0.05,0.01,26.9,1,-2.0141,Dusuk,1200.0,0.66,0.0463,0
Tebuconazole,Broccoli,0.2,0.01,16.2,0,-1.9421,Orta,1200.0,34.25,0.2519,1
Quintozene,"Barley, hay and/or straw",0.01,0.01,25.0,0,-2.0008,Dusuk,1200.0,0.1,0.0125,1
Flusilazole,"Grape pomace, dried",2.0,0.01,15.4,0,-1.9363,Orta,1200.0,134.44,3.1086,1
Trinexapac-ethyl,Edible offal (mammalian),0.1,0.01,22.4,0,-1.9838,Orta,1200.0,10.6,0.1178,1
Pyriproxyfen,"Squash, summer",0.04,0.01,20.5,0,-1.9711,Orta,1200.0,5.21,0.0419,1
Acetamiprid,"Cabbages, head",0.7,1e-06,25.6,1,-6.0146,Cok Dusuk (Kalici),1330.0,2.55,0.6682,0
Prochloraz,Citrus fruits (group),10.0,0.01,22.3,0,-1.9829,Orta,1200.0,334.35,7.1396,0
Fenazaquin,Tree nuts (group),0.02,0.01,19.9,0,-1.9667,Orta,1200.0,1.61,0.0227,1
Ethephon,Wheat germ,1.0,0.01,27.4,1,-2.0173,Dusuk,1200.0,22.11,1.2239,1
Spirotetramat,Edible offal (mammalian),1.0,0.01,25.4,1,-2.0036,Dusuk,1200.0,14.24,1.4546,1
Endosulfan,Poultry meat,0.03,0.01,16.2,0,-1.9418,Orta,1200.0,3.49,0.0441,1
Trifloxystrobin,Wheat,0.2,0.01,32.7,1,-2.0528,Dusuk,1200.0,2.64,0.1322,0
Sulfoxaflor,Bush berries (subgroup),2.0,0.01,22.3,0,-1.9829,Orta,1200.0,79.68,1.3404,0
Tioxazafen,Maize fodder (dry),0.03,0.01,29.6,1,-2.0319,Dusuk,1200.0,0.61,0.0414,1
Imazamox,Milks,0.01,0.01,29.2,1,-2.0291,Dusuk,1200.0,0.17,0.0146,1
Amitraz,Cotton seed,0.5,0.01,33.9,1,-2.061,Dusuk,1200.0,7.62,0.5215,1
Imazalil,"Triticale, hay and/or straw",0.01,0.01,17.5,0,-1.9507,Orta,1200.0,1.11,0.0124,1
Fluensulfone,Prunes,0.3,0.01,26.0,1,-2.0077,Dusuk,1200.0,5.02,0.1885,0
Quinclorac,Poultry fats,0.05,0.01,22.0,0,-1.9808,Orta,1200.0,1.81,0.0311,0
Boscalid,"Fruiting vegetables, other than cucurbits (group)",3.0,0.01,20.1,0,-1.9681,Orta,1200.0,373.44,2.7117,0
Methiocarb,Sugar beet,0.05,0.01,30.4,1,-2.0369,Dusuk,1200.0,0.61,0.0267,0
Chlorpyrifos-Methyl,Peppers (subgroup),1.0,0.01,33.7,1,-2.0597,Dusuk,1200.0,11.96,0.8863,0
Lindane,Edible offal (mammalian),0.001,0.01,23.9,0,-1.9934,Orta,1200.0,0.05,0.001,0
Flutriafol,"Lettuce, head",1.5,0.01,17.6,0,-1.9513,Orta,1200.0,105.67,2.1054,1
Flupyradifurone,Cauliflower,6.0,0.01,27.8,1,-2.0195,Dusuk,1200.0,30.63,2.8934,0
Thiamethoxam,"Fruiting vegetables, cucurbits (group)",0.5,0.01,34.9,1,-2.0675,Dusuk,1200.0,11.98,0.5791,1
Saflufenacil,Mammalian fats (except milk fats),0.05,0.01,28.5,1,-2.0245,Dusuk,1200.0,0.56,0.0371,0
Isocycloseram,Maize,0.01,0.01,22.0,0,-1.981,Orta,1200.0,1.26,0.0101,1
Methiocarb,"Spices, fruits and berries",0.07,0.01,34.6,1,-2.0652,Dusuk,1200.0,1.05,0.0585,0
Propiconazole,Popcorn,0.05,0.01,22.5,0,-1.9842,Orta,1200.0,1.38,0.0251,0
Cyhalothrin (includes lambda-cyhalothrin),Pome fruits (group),0.2,0.01,17.9,0,-1.9531,Orta,1200.0,12.26,0.1713,0
Methoxyfenozide,Broccoli,3.0,0.01,17.4,0,-1.9499,Orta,1200.0,259.92,4.4085,1
Quinclorac,Rhubarb,0.5,0.01,33.5,1,-2.0582,Dusuk,1200.0,4.79,0.3562,0
Chlorpyrifos-Methyl,Potato,0.01,0.01,30.9,1,-2.0406,Dusuk,1200.0,0.12,0.0054,0
Penthiopyrad,Meat (from mammals other than marine mammals),0.04,0.01,26.7,1,-2.0122,Dusuk,1200.0,0.29,0.0287,0
Imazalil,"Triticale, hay and/or straw",0.01,0.01,21.4,0,-1.9769,Orta,1200.0,1.0,0.0112,1
Bifenazate,"Raspberries, red, black",7.0,0.01,18.5,0,-1.9576,Orta,1200.0,698.81,8.5638,1
Iprodione,Potato,0.05,0.01,17.1,0,-1.948,Orta,1200.0,6.58,0.044,0
Flupyradifurone,Prunes,3.0,0.01,24.3,0,-1.9966,Orta,1200.0,220.88,2.4992,0
Captan,"Raspberries, red, black",20.0,0.01,20.6,0,-1.9713,Orta,1200.0,522.65,12.1241,0
Ethoprophos,Sugar cane fodder,0.02,0.01,25.5,1,-2.0042,Dusuk,1200.0,0.17,0.0157,0
Malathion,Apple,0.5,0.01,32.3,1,-2.05,Dusuk,1200.0,5.65,0.5379,1
Hexythiazox,Eggs,0.05,0.01,18.2,0,-1.9557,Orta,1200.0,3.03,0.0649,1
Imazapyr,Sunflower seed,0.08,0.01,27.6,1,-2.0183,Dusuk,1200.0,0.69,0.07,0
Imidacloprid,Cherries (subgroup),4.0,4e-07,23.1,0,-6.3609,Cok Dusuk (Kalici),1540.0,9.69,2.371,0
Profenofos,Tomato,10.0,0.01,19.2,0,-1.9618,Orta,1200.0,963.59,15.211,1
Cypermethrins (including alpha- and zeta- cypermethrin),"Pummelo and grapefruits (including Shaddock-like hybrids, among others Grapefruit) (subgroup)",0.5,0.01,34.7,1,-2.0658,Dusuk,1200.0,7.6,0.6261,1
Acetochlor,"Sugar beet pulp, dry",0.3,22.0,15.3,0,1.2992,Yuksek,1120.0,68.79,0.3908,1
